danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.616,0.0663,-12.73,148.041,0.18,0.985,16,6125RUljDZ9MKwAICmzttp
0.775,0.281,-10.216,139.949,0.0398,0.549,16,33BnSMHgX0AsbKSIbkuMwh
0.487,0.582,-8.938,104.003,0.271,0.715,12,3alP0rX4ErhOszTpx6sFN2
0.494,0.616,-5.828,88.394,0.39,0.47,0,22auw1DYQlYh5XgKv5FtNx
0.451,0.181,-14.357,89.726,0.257,0.917,18,7LU69DVvvm8SXa3f4R7qzH
0.607,0.399,-12.163,75.476,0.688,0.892,5,0EAvKXjChn1Rc3QmfYXevy
0.331,0.639,-9.07,84.545,0.428,0.253,12,2RAXAF7qjvn0FsRuMMTlBx
0.825,0.457,-9.366,129.994,0.85,0.738,7,74TVOIh9i0lO35JX4oui7X
0.481,0.279,-15.363,92.589,0.101,0.734,18,4Gc1SJ7eN65EcTvDMPcCzz
0.468,0.171,-12.965,135.655,0.156,0.993,13,0U9oiRl4hYwORmWwkYihZN
0.302,0.313,-14.266,152.25,0.512,0.879,17,7HdDZScUII7zKRQKqXKUrH
0.51,0.222,-17.092,153.734,0.36,0.987,17,0YRYs1HSkie0eZ02ON4euX
0.445,0.585,-7.785,124.662,0.212,0.018,3,5McQwoSnNSGyZlsikrFQDZ
0.387,0.254,-11.808,131.978,0.305,0.724,13,3P23teua73GJGmG8vKTv2Q
0.306,0.229,-18.818,106.844,0.039,0.992,1,2DmRw6o0JSOvznQe9UGuiD
0.836,0.513,-9.153,96.041,0.575,0.412,19,57RjBtEPLGPacFQRs4N9Ca
0.545,0.365,-8.97,150.125,0.233,0.136,3,3b9xmyHRcolDEoaECLJ3OF
0.497,0.879,-5.531,131.82,0.563,0.216,10,7iV2w73aB3oL7UWgEAWuiN
0.577,0.648,-8.259,113.082,0.109,0.414,0,5LT0mW0LPOF4dn0EGlMW3a
0.556,0.486,-7.899,79.866,0.403,0.594,5,2ItXZP9iAfOtoASybQIOJd
0.385,0.43,-10.558,150.846,0.202,0.583,8,2PvkmAPAOMYdRU5DDmFaxV
0.55,0.74,-8.83,122.277,0.522,0.172,14,6kREzaEnJBhSGeWxeQSe7H
0.686,0.47,-10.203,100.009,0.297,0.536,5,4fuFDRwSnpcU7xfeSrZHrr
